age,qx_male,qx_female
0,0.003394,0.00295
1,0.000199,0.000202
2,0.000171,0.000105
3,0.000124,9.7e-05
4,9.2e-05,8.8e-05
5,7.8e-05,7.9e-05
6,7.4e-05,7.1e-05
7,7.4e-05,6.4e-05
8,7.4e-05,5.8e-05
9,7.3e-05,5.6e-05
10,7.5e-05,5.7e-05
11,8.2e-05,6.2e-05
12,9.6e-05,7.2e-05
13,0.000121,8.7e-05
14,0.000159,0.000108
15,0.00022,0.000136
16,0.000326,0.000172
17,0.000438,0.000209
18,0.000508,0.000226
19,0.000542,0.000235
20,0.000559,0.00024
21,0.000575,0.000242
22,0.000592,0.000243
23,0.00061,0.000244
24,0.000628,0.000245
25,0.000648,0.000249
26,0.000668,0.000255
27,0.000689,0.000264
28,0.00071,0.000279
29,0.000732,0.000296
30,0.000755,0.000315
31,0.000782,0.000338
32,0.000811,0.000363
33,0.000845,0.000392
34,0.000883,0.000425
35,0.000927,0.000462
36,0.000977,0.000503
37,0.001034,0.000548
38,0.001099,0.000599
39,0.001173,0.000654
40,0.001255,0.000715
41,0.001348,0.000782
42,0.001452,0.000855
43,0.001567,0.000934
44,0.001694,0.001019
45,0.001834,0.001111
46,0.001988,0.001211
47,0.002156,0.001318
48,0.00234,0.001432
49,0.00254,0.001554
50,0.002756,0.001685
51,0.00299,0.001824
52,0.003244,0.001972
53,0.00352,0.002131
54,0.003821,0.002302
55,0.004147,0.002487
56,0.004503,0.002688
57,0.004891,0.002908
58,0.005311,0.003147
59,0.005768,0.003407
60,0.006262,0.00369
61,0.006797,0.003999
62,0.007374,0.004335
63,0.007996,0.004699
64,0.008668,0.005093
65,0.009403,0.00552
66,0.01022,0.005981
67,0.011134,0.00651
68,0.012163,0.00722
69,0.013323,0.008058
70,0.01463,0.008944
71,0.016102,0.009902
72,0.017759,0.01098
73,0.019648,0.012226
74,0.021819,0.013687
75,0.024321,0.015412
76,0.027204,0.017447
77,0.030515,0.019838
78,0.034301,0.02263
79,0.038608,0.025869
80,0.04348,0.029597
81,0.048974,0.033855
82,0.055216,0.038708
83,0.062341,0.044309
84,0.070479,0.050829
85,0.07975,0.058432
86,0.090265,0.067273
87,0.102126,0.077496
88,0.11542,0.089195
89,0.130219,0.102311
90,0.146446,0.116744
91,0.163495,0.132391
92,0.180675,0.149146
93,0.197485,0.166899
94,0.213996,0.185542
95,0.230397,0.204981
96,0.246856,0.224983
97,0.263804,0.245023
98,0.28171,0.264713
99,0.299994,0.283782
100,0.318046,0.302064
101,0.335204,0.319485
102,0.350771,0.336057
103,0.365552,0.351859
104,0.379628,0.367035
105,0.393023,0.381783
106,0.405763,0.395976
107,0.417874,0.409556
108,0.42938,0.422538
109,0.440307,0.43493
